TP1,-0.700,0.113,S075,3V3 Test Probe
TP2,-0.800,0.113,S075,SDA Test Probe
TP3,-0.900,0.113,S075,SCL Test Probe
TP4,-1.000,0.113,S075,INT Test Probe
TP5,0.900,0.613,S075,5V Test Probe
TP6,1.000,0.613,S075,GND Test Probe
TP7,-0.300,0.613,S075,GP0.0 Test Probe
TP8,-0.400,0.613,S075,GP0.1 Test Probe
TP9,-0.500,0.613,S075,GP0.2 Test Probe
TP10,-0.600,0.613,S075,GP0.3 Test Probe
TP11,-0.700,0.613,S075,GP0.4 Test Probe
TP12,-0.800,0.613,S075,GP0.5 Test Probe
TP13,-0.900,0.613,S075,GP0.6 Test Probe
TP14,-1.000,0.613,S075,GP0.7 Test Probe
TP15,-0.300,0.513,S075,GP1.0 Test Probe
TP16,-0.400,0.513,S075,GP1.1 Test Probe
TP17,-0.500,0.513,S075,GP1.2 Test Probe
TP18,-0.600,0.513,S075,GP1.3 Test Probe
TP19,-0.700,0.513,S075,GP1.4 Test Probe
TP20,-0.800,0.513,S075,GP1.5 Test Probe
TP21,-0.900,0.513,S075,GP1.6 Test Probe
TP22,-1.000,0.513,S075,GP1.7 Test Probe
LP1,-1.113,0.000,S3,Bottom Left Locating Probe
LP2,-1.113,0.726,S3,Top Left Locating Probe
LP3,1.113,0.000,S3,Bottom Right Locating Probe
LP4,1.113,0.726,S3,Top Right Locating Probe
H1,-0.650,0.363,H,Left Hold-Down Post
H2,0.000,0.683,H,Top Hold-Down Post
H3,0.650,0.363,H,Right Hold-Down Post
M1,-1.450,1.000,M,Bottom Left Mounting Hole
M2,-1.450,3.100,M,Top Left Mounting Hole
M3,1.450,1.000,M,Bottom Right Mounting Hole
M4,1.450,3.100,M,Top Right Mounting Hole
